windspeed,power,capfac
26.5,500000,1
26.6,500000,1
26.7,500000,1
26.8,500000,1
26.9,500000,1
27,500000,1
27.1,500000,1
27.2,500000,1
27.3,500000,1
27.4,500000,1
27.5,500000,1
27.6,500000,1
27.7,500000,1
27.8,0,0
27.9,0,0
28,0,0
28.1,0,0
28.2,0,0
28.3,0,0
28.4,0,0
28.5,0,0
28.6,0,0
28.7,0,0
28.8,0,0
28.9,0,0
29,0,0
29.1,0,0
29.2,0,0
29.3,0,0
29.4,0,0
29.5,0,0
29.6,0,0
29.7,0,0
29.8,0,0
29.9,0,0
30,0,0
